Name,English Name,Operator,Output (MW)
Zonnepark Emmeloord,,Groen Leven,12.5
Zonnepark Ficarystraat,,TPSolar,12.5
Zonnepark Kooypunt,,Vattenfall,12.5
Agri-PV Zonnepark A73,,,12
Zonnepark A73 Beuningen,,ZonXP,12
Zonnepark Abdissenbosch,,,12
Zonnepark Belvédère,,,12
Zonnepark De Watering,,,12
Zonnepark Drachtsterweg,,Energeia,12
Zonnepark Emmen,,Shell,12
Zonnepark Hoogveld Zuid,,TPSolar,12
Zonnepark Lungendonk,,TPSolar,12
Zonnepark Oosterweilanden,,Zonnepark Oosterweilanden BV,12
Zonnepark Schoenaker,,TPSolar,12
Zonnepark Tichelrijt 3,,,12
Zonnepark Rilland,,Unisun Energy,11.75
Zonnepark Kloosterlaan,,,11.7
Zonnepark Sinnegreide,,,11.7
Zonnepark Roodehaan I,,,11.4
Zonnepark Wijkerbroek Oost,,,11.09
Zonnepark Afleidingskanaal,,,11
Zonnepark Bathpolder,,,11
Zonnepark Boksveenweg,,,11
Zonnepark Haarstdiek,,,11
Zonnepark Lievelde,,,11
Zonnepark Wilbertoord,,,11
Zonnepark Zeeland Refinery,,,11
Zonnepark Tinte,,,10.9
Zonnepark Graafsebaan,,,10.5
Zonnepark Waterlanden,,,10.4
Zonnepark De Kie,,Solarfields,10.15
Zonnepark Maatweg,,,10
Zonnepark Melissant,,,10
Zonnepark op Vloeivelden,,ECLoZ,10
Zonnepark Berkelweide,,TPSolar,9.7
Zonnepark Leeksterveld fase 2,,Ecorus,9.6
Zonnepark Roodehaan II,,,9.6
Zonnepark IJsselmeerdijk,,,9.5
Zonneweide De Blauwe Poort,,,9.5
Zonnepark rwzi Bath,,,9.49
Zonnepark De Vaandel,,Ecorus,9.36
Zonnepark Avri,,Avri Solar B.V.,9.3
Zonnepark Batendijk,,,9.3
Zonnepark Dassenberg,,,9.3
Zonnepark Wijkerbroek West,,,9.28
Zonnepark Marum,,,9
Zonnepark Spechthorst/De Whee,,,9
Zonnepark Armhoede,,TPSolar,8.9
Agri PV Zonnepark Van Hoof,,,8.7
Zonnepark Bloesemlaan,,TPSolar,8.5
Zonnepark Haulerwijk,,GroenLeven,8.2
Zonneakker Revelhorst,,,8
Zonnepark De Stegenhoek,,,8
Zonnepark Keppelseweg,,,8
Zonnepark Buinerhorn,,,7.86
Zonnepark Geefsweer,,,7.8
Zonnepark Noordmanshoek,,,7.8
Zonnepark Alteveer,,,7.5
Zonnepark Hardenberg,,Kronos Solar,7.5
Zonnepark Schaapsdijk,,,7.5
Zonnepark Transberg,,Drechtsteden Energie,7.5
Zonnepark De Dogger,,,7.45
Zonnepark Hessenpoort,,,7.4
Zonnepark Omweg Energy Park,,,7.28
Zonnepark Alphen aan den Rijn - N11,,,7.2
Zonnepark Nijnselseweg,,zonnepanelendelen,7.2
Zonnepark Ommelanderwijk,,,7.2
Zonnepark Wieldrechtse Zeedijk,,,7.2
Zonnepark Drakenrijk,,,7
Zonnepark Oudehaske I,,,7
Zonnepark Rengersweg,,,7
Zonnepark Westdorp,,,7
Zonnepark de Griene Greide,,Enerzjy Koöperaasje Garyp,7
Zonnepark Leemdijk,,,6.9
Zonnepark Runderweg,,,6.9
Zonnepark Jumaheerd,,,6.8
Zonnepark Drouwenerzon,,,6.68
Zonnepark Bovenveld,,,6.6
Zonnepark Coevorden,,,6.5
Zonnepark Energiestreek Winschoten,,,6.5
Zonnepark Markelo,,,6.5
Zonnepark Zuidgeest,,,6.3
Zonnepark De Zonneweihoek,,,6.2
Drijvend Zonnepark Amer,,GroenLeven,6.1
Zonnepark Eerbeek,,,6.1
Zonnepark Ameland,,BV Zonnepark Ameland,6
Zonnepark Diepenhoek,,,6
Zonnepark Lage Woerd,,,6
Zonnepark Nieuweweg,,,6
zonneweide Tripkouw,,,5.9
Zonnepark LangstraatZon Waalwijk,,,5.86
Zonneveld Best,,,5.76
Zonnepark Eemshaven,,Vattenfall,5.7
Zonnepark TT Assen,,,5.64
Solar Campus Purmerend,,Ecorus,5.6
Zonnepark Groot-Bronswijk,,,5.6
Zonnepark Flierbelten,,,5.5
Zonnepark Leveroysedijk,,,5.5
Zonnepark Wachtum,,,5.1
Zonnepark de Grift,,,5.04
Zonnepark Burgervlotbrug,,,5
Zonnepark Centrale Burgum,,,5
Zonnepark De Baendj,,,5
Zonnepark E-circuit Emmen,,,5
Zonnepark Fort de Pol,,,5
Zonnepark Vegelinsoord,,,5
Zonnepark Wolvega,,,5
Zonnepark Wolvega l,,,5
Zonneweide Hoeve de Ruif,,,5
Zonnepark De Vlaas,,,4.9
Zonnepark Blitsaerd,,GroenLeven,4.8
Zonnepark Amstelwijck,,"gemeente Dordrecht, afval -en energiebedrijf HVC en de Energie Coöperatie Dordrecht (ECD)",4.6
Zonnepark Daarle,,,4.59
Zonnepark Lungendonk,,Zonneparken Someren,4.5
Zonnepark Rhoon,,,4.5
Zonnepark Tegelen,,,4.5
Zonnepark Mercurius,,,4.4
Zonnepark Ureterp,,,4.3
Zonnepark Zandwinning Geertjesgolf,,,4.2
Zonnepark Oppenhuizen,,,4.1
Zonnepark RWZI Aarle-Rixtel,,,4.1
Zonnepark De Lichtkiem,,,4
Zonnepark Groene Kadeweg,,,4
Zonnepark Hooghweg Energy Buinen,,,4
Zonnepark IJsseldijk A1,,,4
Zonnepark Noordwolde,,Zonnepark Noordwolde B.V.,3.91
Zonnepark Oost,,,3.85
Zonnepark West,,,3.85
Zonnepark Apeldoorn,,,3.8
Zonnepark Wolvega ll,,Zonnepark Wolvega B.V.,3.78
Zonnepark Eemscentrale,,Engie,3.75
Zonnepark Koudekerke,,Zonnepark Koudekerke B.V.,3.6
Zonnepark Crayestein,,ECD,3.5
Zonnepark Goes,,,3.5
Zonneweide Bocholterweg,,,3.5
Zonnepark Louisegroeve,,,3.4
Zonnevijver Boskoop,,,3.4
[unnamed],,Tesla, Inc.
Zonnepark Kolksluis Solar,,,3.34
Zonnepark Middenmeer,,,3.24
Zonnepark Gasselternijeveen,,,3.2
Zonnepark Hoogengraven,,,3.1
Zonnepark Jutterszon,,,3.1
Zonnepark A58,,Vrijopnaam,3
Zonnepark Noordscheschut,,Solarfields,3
Zonnepark Tienbunderweg,,,3
Zonnepark Welschap,,,3
Zonnepark Westeinde,,Stichting Westeinde Energieneutraal,3
Zonnepark De Punt,,,2.9
Zonnepark Torenallee,,,2.9
Zonnepark 't Boonder,,,2.8
Zonnepark Heikantstraat,,Zonneparken Someren,2.8
Stroomtuin IJlst,,Stroomtuin BV,2.6
Zonnekwekerij Driezum,,,2.6
Zonnepark Lacustris,,,2.6
Zonnepark Royal Lankhorst Euronete,,,2.6
Zonneweide Overkamp,,,2.6
Zonnepark NPG Solar Dedemsvaart,,,2.58
Zonnepark Nunhem,,,2.55
Zonnepark Brinkenweg,,,2.5
Zonnepark Elzenbos,,,2.5
Zonnepark Vlaamseweg,,Dutch Green Energy,2.5
Zonnepark Zaltbommel,,,2.5
Zonnepark Leppagreide,,,2.4
Zonnepark SNB,,,2.4
Zonnepark Zuidwending,,,2.4
Zonnepark Boekelermeer,,,2.38
Zonnepark Oostindie,,Ecorus,2.3
Zonnepark de Baakermat,,,2.3
Zonneweide Technopark,,Lightsource bp,2.3
[unnamed],,,2.3
